Chương;LV;TT;Nội dung câu hỏi;Đáp án;Thang điểm
;;;Chương 1;;
;;;Nhóm câu hỏi ở mức độ NHẬN BIẾT/ THÔNG HIỂU (A);;
Chương 1;Dễ;1;CPU có cache L1, L2, L3. Trong đó cache nhanh nhất là:;;0,2
Chương 1;Dễ;;L1;A;
Chương 1;Dễ;;L2;;
Chương 1;Dễ;;L3;;
Chương 1;Dễ;;Như nhau, chỉ khác về dung lượng;;
Chương 1;Dễ;2;Mainboard là gì?;;0,2
Chương 1;Dễ;;Thiết bị lưu trữ;;
Chương 1;Dễ;;Bo mạch chủ;B;
Chương 1;Dễ;;Thiết bị xuất hình;;
Chương 1;Dễ;;Thiết bị nhập;;
Chương 1;Dễ;3;Mainboard Micro-ATX có thể lắp vào case ATX không?;;0,2
Chương 1;Dễ;;Có;A;
Chương 1;Dễ;;Không;;
Chương 1;Dễ;;Chỉ khi dùng adapter;;
Chương 1;Dễ;;Chỉ khi nâng cấp BIOS;;
Chương 1;Dễ;4;Nếu CPU không đúng socket với mainboard thì:;;0,2
Chương 1;Dễ;;Lắp được nhưng máy chạy chậm.;;
Chương 1;Dễ;;Không lắp được CPU.;B;
Chương 1;Dễ;;Không nhận RAM.;;
Chương 1;Dễ;;Không có vấn đề gì.;;
Chương 1;Dễ;5;Nếu mainboard hỗ trợ DDR5, RAM DDR4 sẽ:;;0,2
Chương 1;Dễ;;Chạy chậm;;
Chương 1;Dễ;;Không lắp được;B;
Chương 1;Dễ;;Chạy bình thường;;
Chương 1;Dễ;;Chạy nửa tốc độ;;
Chương 1;Dễ;6;Nguồn máy tính còn gọi là gì?;;0,2
Chương 1;Dễ;;GPU;;
Chương 1;Dễ;;PSU;B;
Chương 1;Dễ;;UPS;;
Chương 1;Dễ;;ROM;;
Chương 1;Dễ;7;Ổ cứng SSD lưu dữ liệu bằng công nghệ nào?;;0,2
Chương 1;Dễ;;ổ SSD sử công nghệ lưu trữ từ tính.;;
Chương 1;Dễ;;ổ SSD sử công nghệ lưu trữ flash.;B;
Chương 1;Dễ;;ổ SSD sử công nghệ lưu trữ đĩa từ và đầu kim đọc dữ liệu;;
Chương 1;Dễ;;ổ SSD chỉ để đọc dữ liệu. Dữ liệu được ghi vào từ lúc sản xuất.;;
Chương 1;Dễ;8;Ổ SSD SATA cần nguồn từ:;;0,2
Chương 1;Dễ;;Cáp PCI-E;;
Chương 1;Dễ;;Cáp SATA power;B;
Chương 1;Dễ;;Cáp VGA;;
Chương 1;Dễ;;Cáp USB;;
Chương 1;Dễ;9;Ổ SSD SATA thường có kích thước phổ biến nào?;;0,2
Chương 1;Dễ;;3.5 inch;;
Chương 1;Dễ;;2.5 inch;B;
Chương 1;Dễ;;5 inch;;
Chương 1;Dễ;;1.8 inch;;
Chương 1;Dễ;10;RAM có chức năng chính là gì?;;0,2
Chương 1;Dễ;;Lưu trữ tạm thời;A;
Chương 1;Dễ;;Lưu trữ lâu dài;;
Chương 1;Dễ;;Xuất hình ảnh;;
Chương 1;Dễ;;Cấp điện;;
Chương 1;Dễ;11;RAM DDR4 thường có bao nhiêu chân?;;0,2
Chương 1;Dễ;;240;;
Chương 1;Dễ;;288;B;
Chương 1;Dễ;;184;;
Chương 1;Dễ;;200;;
Chương 1;Dễ;12;Thiết bị nào giúp làm mát CPU?;;0,2
Chương 1;Dễ;;Case;;
Chương 1;Dễ;;Heatsink/Fan;B;
Chương 1;Dễ;;RAM;;
Chương 1;Dễ;;SSD;;
Chương 1;Dễ;13;Tốc độ đọc/ghi dữ liệu giữu ổ cứng SSD và HDD;;0,2
Chương 1;Dễ;;Tốc độ đọc/ghi dữ liệu của ổ cứng bằng nhau.;;
Chương 1;Dễ;;Tốc độ đọc/ghi dữ liệu của ổ cứng HDD nhanh hơn.;;
Chương 1;Dễ;;Tốc độ đọc/ghi dữ liệu của ổ cứng SSD nhanh hơn.;C;
Chương 1;Dễ;;Tốc độ đọc/ghi dữ liệu của ổ cứng SSD chậm hơn.;;
;;;Nhóm câu hỏi ở mức độ VẬN DỤNG (B);;
Chương 1;Trung bình;1;Card đồ họa rời được cắm vào khe nào trên mainboard?;;0,2
Chương 1;Trung bình;;PCI;;
Chương 1;Trung bình;;PCIe x16;B;
Chương 1;Trung bình;;SATA;;
Chương 1;Trung bình;;M.2;;
Chương 1;Trung bình;2;Chuẩn giao tiếp của ổ SSD NVMe là gì?;;0,2
Chương 1;Trung bình;;SATA;;
Chương 1;Trung bình;;PCIe;B;
Chương 1;Trung bình;;IDE;;
Chương 1;Trung bình;;USB;;
Chương 1;Trung bình;3;Điều kiện để RAM chạy Dual Channel;;0,2
Chương 1;Trung bình;;Thiết bị phải có ít nhất 2 thanh RAM, cùng loại, cùng bus và có dung lượng giống nhau.;A;
Chương 1;Trung bình;;Thiết bị chỉ cần cắm 2 thanh RAM trở lên.;;
Chương 1;Trung bình;;Thiết bị phải có ít nhất 2 thanh RAM, cùng loại, cùng bus và không cần dung lượng giống nhau.;;
Chương 1;Trung bình;;Thiết bị chỉ cần cắm ít nhất 2 thanh RAM cùng bus.;;
Chương 1;Trung bình;4;Hai thanh RAM cùng loại DDR3 nhưng có bus là 1333MHz và 1600MHz thì khi cắm:;;0,2
Chương 1;Trung bình;;Không chạy được;;
Chương 1;Trung bình;;Chạy ở 2666 MHz;B;
Chương 1;Trung bình;;Hỏng RAM;;
Chương 1;Trung bình;;Không nhận RAM;;
Chương 1;Trung bình;5;Khi lắp NVMe cần:;;0,2
Chương 1;Trung bình;;khe M.2;A;
Chương 1;Trung bình;;khe PCI;;
Chương 1;Trung bình;;SATA;;
Chương 1;Trung bình;;RAM slot;;
Chương 1;Trung bình;6;Mainboard chỉ hỗ trợ RAM 2666MHz nhưng lắp RAM 3200MHz:;;0,2
Chương 1;Trung bình;;RAM chạy 2666MHz;A;
Chương 1;Trung bình;;RAM cháy;;
Chương 1;Trung bình;;Máy không chạy;;
Chương 1;Trung bình;;RAM chạy 3200MHz;;
Chương 1;Trung bình;7;Mainboard Micro‑ATX nhỏ hơn loại nào?;;0,2
Chương 1;Trung bình;;ATX;A;
Chương 1;Trung bình;;Mini‑ITX;;
Chương 1;Trung bình;;Nano‑ITX;;
Chương 1;Trung bình;;Flex‑ATX;;
Chương 1;Trung bình;8;Mainboard Mini-ITX là loại thường dùng cho:;;0,2
Chương 1;Trung bình;;Máy nhỏ gọn;A;
Chương 1;Trung bình;;Server lớn;;
Chương 1;Trung bình;;Workstation;;
Chương 1;Trung bình;;Gaming tower;;
Chương 1;Trung bình;9;Nếu CPU socket khác mainboard:;;0,2
Chương 1;Trung bình;;không lắp được;B;
Chương 1;Trung bình;;chạy chậm;;
Chương 1;Trung bình;;không chạy được;;
Chương 1;Trung bình;;RAM lỗi;;
Chương 1;Trung bình;10;Ổ SSD nhanh hơn HDD chủ yếu vì lý do nào?;;0,2
Chương 1;Trung bình;;Không có bộ nhớ;;
Chương 1;Trung bình;;Không có bộ phận cơ học;B;
Chương 1;Trung bình;;Không cần điện;;
Chương 1;Trung bình;;Không cần mainboard;;
Chương 1;Trung bình;11;Ổ SSD NVMe được cắm vào khe nào?;;0,2
Chương 1;Trung bình;;SATA;;
Chương 1;Trung bình;;PCIe;;
Chương 1;Trung bình;;M.2;C;
Chương 1;Trung bình;;IDE;;
Chương 1;Trung bình;12;RAM bus cao hơn thường mang lại lợi ích gì?;;0,2
Chương 1;Trung bình;;Tăng tốc độ truyền dữ liệu;A;
Chương 1;Trung bình;;Giảm dung lượng;;
Chương 1;Trung bình;;Giảm điện áp;;
Chương 1;Trung bình;;Giảm nhiệt;;
Chương 1;Trung bình;13;SATA III có tốc độ tối đa lý thuyết bao nhiêu?;;0,2
Chương 1;Trung bình;;300 MB/s;;
Chương 1;Trung bình;;600 MB/s;B;
Chương 1;Trung bình;;1 GB/s;;
Chương 1;Trung bình;;6 GB/s;;
Chương 1;Trung bình;14;Socket AM4 dùng cho CPU hãng nào?;;0,2
Chương 1;Trung bình;;Intel;;
Chương 1;Trung bình;;AMD;B;
Chương 1;Trung bình;;Apple;;
Chương 1;Trung bình;;Qualcomm;;
Chương 1;Trung bình;15;Sử dụng 2 thanh RAM cùng loại, khác bus nhưng khi lắp đặt vào bo mạch chủ thì:;;0,2
Chương 1;Trung bình;;chạy theo bus thấp hơn;A;
Chương 1;Trung bình;;chạy bus cao hơn;;
Chương 1;Trung bình;;không nhận RAM;;
Chương 1;Trung bình;;chạy bus bằng trung bình của 2 RAM;;
Chương 1;trung bình;16;Thông số Dual Channel RAM giúp:;;0,2
Chương 1;trung bình;;tăng dung lượng ổ cứng;;
Chương 1;trung bình;;tăng số nhân CPU;;
Chương 1;trung bình;;tăng băng thông truy cập bộ nhớ;C;
Chương 1;trung bình;;tăng dung lượng cache;;
Chương 1;Trung bình;17;Thông tin “Intel® Core™ i9-8950HK, 4.80 GHz, 12 MB Intel® Smart Cache” mô tả:;;0,2
Chương 1;Trung bình;;Bộ nhớ cache L1 là 12 MB;;
Chương 1;Trung bình;;Bộ nhớ cache L2 là 12 MB;;
Chương 1;Trung bình;;Bộ nhớ cache L3 là 12 MB;C;
Chương 1;Trung bình;;Bộ nhớ cache L1+L2+L3 là 12 MB;;
Chương 1;Trung bình;18;Thông tin “Intel® Core™ i9-8950HK, 4.80 GHz, 12 MB Intel® Smart Cache” mô tả:;;0,2
Chương 1;Trung bình;;thế hệ thứ 8;A;
Chương 1;Trung bình;;thế hệ thứ 9;;
Chương 1;Trung bình;;thế hệ thứ 12;;
Chương 1;Trung bình;;CPU có 9 nhân;;
Chương 1;Trung bình;19;GPU rời cần cấp thêm nguồn từ đâu?;;0,2
Chương 1;Trung bình;;PSU qua cáp PCIe;A;
Chương 1;Trung bình;;RAM slot;;
Chương 1;Trung bình;;SATA cable;;
